sample_id,sample_date,lat,lon,chip_path,chip_image_path,chip_status,chip_reason,s2_item_id,acquisition_date,abs_day_diff,s2_cloud_cover,s2_solar_zenith,chip_nodata_ratio,chip_size,chip_overlap_stride_pixels,chip_offset_x_px,chip_offset_y_px,chip_overlap_candidates,chip_bands
FI_00000000,2023-01-10,61.41234231212037,29.399668855924936,,,no_match,no_stac_item,,,,,,,256,128,0,0,0,"B02,B03,B04,B08"
FI_00000001,2023-01-10,61.41234231212037,29.399668855924936,,,no_match,no_stac_item,,,,,,,256,128,0,0,0,"B02,B03,B04,B08"
FI_00000002,2023-01-10,61.41234231212037,29.399668855924936,,,no_match,no_stac_item,,,,,,,256,128,0,0,0,"B02,B03,B04,B08"
FI_00000003,2023-01-10,61.41234231212037,29.399668855924936,,,no_match,no_stac_item,,,,,,,256,128,0,0,0,"B02,B03,B04,B08"
FI_00000004,2023-01-10,61.41234231212037,29.399668855924936,,,no_match,no_stac_item,,,,,,,256,128,0,0,0,"B02,B03,B04,B08"
FI_00000005,2023-01-10,61.41234231212037,29.399668855924936,,,no_match,no_stac_item,,,,,,,256,128,0,0,0,"B02,B03,B04,B08"
FI_00000006,2023-02-07,61.41234231212037,29.399668855924936,,,no_match,no_stac_item,,,,,,,256,128,0,0,0,"B02,B03,B04,B08"
FI_00000007,2023-02-07,61.41234231212037,29.399668855924936,,,no_match,no_stac_item,,,,,,,256,128,0,0,0,"B02,B03,B04,B08"
FI_00000008,2023-02-07,61.41234231212037,29.399668855924936,,,no_match,no_stac_item,,,,,,,256,128,0,0,0,"B02,B03,B04,B08"
FI_00000009,2023-02-07,61.41234231212037,29.399668855924936,,,no_match,no_stac_item,,,,,,,256,128,0,0,0,"B02,B03,B04,B08"
FI_00000010,2023-02-07,61.41234231212037,29.399668855924936,,,no_match,no_stac_item,,,,,,,256,128,0,0,0,"B02,B03,B04,B08"
FI_00000011,2023-02-07,61.41234231212037,29.399668855924936,,,no_match,no_stac_item,,,,,,,256,128,0,0,0,"B02,B03,B04,B08"
FI_00000012,2023-03-01,61.41234231212037,29.399668855924936,,,rejected,nodata_reject,S2A_MSIL2A_20230302T093031_R136_T36VUP_20240818T001539,2023-03-02,1,1.468945,69.343858466529,1.0,256,128,0,0,9,"B02,B03,B04,B08"
FI_00000013,2023-03-01,61.41234231212037,29.399668855924936,,,rejected,nodata_reject,S2A_MSIL2A_20230302T093031_R136_T36VUP_20240818T001539,2023-03-02,1,1.468945,69.343858466529,1.0,256,128,0,0,9,"B02,B03,B04,B08"
FI_00000014,2023-03-01,61.41234231212037,29.399668855924936,,,rejected,nodata_reject,S2A_MSIL2A_20230302T093031_R136_T36VUP_20240818T001539,2023-03-02,1,1.468945,69.343858466529,1.0,256,128,0,0,9,"B02,B03,B04,B08"
FI_00000015,2023-03-01,61.41234231212037,29.399668855924936,,,rejected,nodata_reject,S2A_MSIL2A_20230302T093031_R136_T36VUP_20240818T001539,2023-03-02,1,1.468945,69.343858466529,1.0,256,128,0,0,9,"B02,B03,B04,B08"
FI_00000016,2023-03-01,61.41234231212037,29.399668855924936,,,rejected,nodata_reject,S2A_MSIL2A_20230302T093031_R136_T36VUP_20240818T001539,2023-03-02,1,1.468945,69.343858466529,1.0,256,128,0,0,9,"B02,B03,B04,B08"
FI_00000017,2023-03-01,61.41234231212037,29.399668855924936,,,rejected,nodata_reject,S2A_MSIL2A_20230302T093031_R136_T36VUP_20240818T001539,2023-03-02,1,1.468945,69.343858466529,1.0,256,128,0,0,9,"B02,B03,B04,B08"
FI_00000018,2023-04-04,61.41234231212037,29.399668855924936,D:\Water Quality Parameter Estimation\wq_pipeline\artifacts\tolerance_7d\prepared\chips\train\sample_FI_00000018.npz,D:\Water Quality Parameter Estimation\wq_pipeline\artifacts\tolerance_7d\prepared\chips\train\sample_FI_00000018.png,ok,,S2B_MSIL2A_20230406T093039_R136_T35VPJ_20240827T080719,2023-04-06,2,17.23485,55.557450396346,7.62939453125e-05,256,128,0,0,9,"B02,B03,B04,B08"
FI_00000019,2023-04-04,61.41234231212037,29.399668855924936,D:\Water Quality Parameter Estimation\wq_pipeline\artifacts\tolerance_7d\prepared\chips\train\sample_FI_00000019.npz,D:\Water Quality Parameter Estimation\wq_pipeline\artifacts\tolerance_7d\prepared\chips\train\sample_FI_00000019.png,ok,,S2B_MSIL2A_20230406T093039_R136_T35VPJ_20240827T080719,2023-04-06,2,17.23485,55.557450396346,7.62939453125e-05,256,128,0,0,9,"B02,B03,B04,B08"
FI_00000020,2023-04-04,61.41234231212037,29.399668855924936,D:\Water Quality Parameter Estimation\wq_pipeline\artifacts\tolerance_7d\prepared\chips\train\sample_FI_00000020.npz,D:\Water Quality Parameter Estimation\wq_pipeline\artifacts\tolerance_7d\prepared\chips\train\sample_FI_00000020.png,ok,,S2B_MSIL2A_20230406T093039_R136_T35VPJ_20240827T080719,2023-04-06,2,17.23485,55.557450396346,7.62939453125e-05,256,128,0,0,9,"B02,B03,B04,B08"
FI_00000021,2023-04-04,61.41234231212037,29.399668855924936,D:\Water Quality Parameter Estimation\wq_pipeline\artifacts\tolerance_7d\prepared\chips\train\sample_FI_00000021.npz,D:\Water Quality Parameter Estimation\wq_pipeline\artifacts\tolerance_7d\prepared\chips\train\sample_FI_00000021.png,ok,,S2B_MSIL2A_20230406T093039_R136_T35VPJ_20240827T080719,2023-04-06,2,17.23485,55.557450396346,7.62939453125e-05,256,128,0,0,9,"B02,B03,B04,B08"
FI_00000022,2023-04-04,61.41234231212037,29.399668855924936,D:\Water Quality Parameter Estimation\wq_pipeline\artifacts\tolerance_7d\prepared\chips\train\sample_FI_00000022.npz,D:\Water Quality Parameter Estimation\wq_pipeline\artifacts\tolerance_7d\prepared\chips\train\sample_FI_00000022.png,ok,,S2B_MSIL2A_20230406T093039_R136_T35VPJ_20240827T080719,2023-04-06,2,17.23485,55.557450396346,7.62939453125e-05,256,128,0,0,9,"B02,B03,B04,B08"
